# Cluster;  Timestep;  Ref. Mol.
1;  96;  6
2;  199;  22
3;  303;  24
4;  393;  2
5;  465;  5
6;  574;  31
7;  601;  10
8;  667;  8
9;  699;  11
10;  761;  40
11;  832;  42
12;  864;  29
13;  903;  4
14;  927;  15
15;  936;  33
16;  1044;  2
17;  1044;  14
18;  1095;  10
19;  1100;  3
20;  1254;  19
21;  1279;  35
22;  1305;  32
23;  1321;  33
24;  1331;  8
25;  1487;  42
26;  1497;  12
27;  1593;  22
28;  1651;  24
29;  1670;  9
30;  1714;  25
31;  1752;  15
32;  1804;  7
33;  1814;  17
34;  1836;  24
35;  1870;  32
36;  1921;  31
37;  1968;  19
38;  1999;  2
39;  2082;  19
40;  2096;  13
41;  2403;  43
42;  2670;  23
43;  2676;  33
44;  2696;  37
45;  2743;  24
46;  2754;  3
47;  2934;  24
48;  2971;  29
49;  3088;  16
50;  3140;  36
51;  3293;  7
52;  3300;  17
53;  3322;  9
54;  3448;  20
55;  3521;  8
56;  3578;  2
57;  3704;  35
58;  3759;  37
59;  3785;  1
60;  3794;  17
61;  3837;  11
62;  3854;  24
63;  3905;  22
64;  3977;  14
65;  4003;  38
66;  4007;  27
67;  4207;  12
68;  4435;  27
69;  4522;  29
70;  4553;  35
71;  4702;  6
72;  4767;  40
73;  4787;  39
74;  4829;  10
75;  4965;  21
76;  4974;  19
77;  5086;  40
78;  5122;  21
79;  5125;  36
80;  5196;  1
81;  5245;  6
82;  5248;  24
83;  5280;  40
84;  5418;  25
85;  5466;  41
86;  5520;  21
87;  5548;  1
88;  5579;  27
89;  5597;  15
90;  5662;  33
91;  5685;  32
92;  5688;  35
93;  5771;  31
94;  5773;  7
95;  5775;  38
96;  5790;  38
97;  5887;  26
98;  5942;  13
99;  6012;  27
100;  6028;  32
