atom,x,y,z
O,-0.52983, 1.43973,-0.67795
O,-1.00561, 2.24283, 0.23205
O, 4.10554,-6.11207, 3.44205
O, 3.19884,-6.98977, 3.82205
O, 0.66914,-6.55409,-6.07795
O, 0.86284,-6.96812,-4.88795
O,-0.09876,-0.04627, 6.71205
O,-0.42586, 1.22243, 6.71205
O,-5.32426,-2.41187,-4.24795
O,-5.09126,-2.01187,-3.06795
O, 7.56284,-1.85887,-3.95795
O, 7.22244,-2.22787,-2.74795
O, 6.92704,-8.45587,-1.00795
O, 7.22304,-8.01087,-2.17795
O,-1.34726,-11.08947,-0.08795
O,-1.01326,-12.41027,-0.10795
O, 2.18564, 5.58143, 2.97205
O, 2.91484, 5.83883, 4.02205
O,-7.63126,-3.89527, 1.79205
O,-6.59426,-3.21167, 2.12205
O, 6.49474,-0.82387, 7.93205
O, 7.22774,-1.84687, 7.62205
O,-0.42478,12.31343,-5.43795
O,-1.57532,12.85793,-5.74795
O, 5.75674, 6.09083,-4.07795
O, 5.40564, 6.36823,-2.81795
O,-5.79303, 4.14373, 3.98205
O,-5.78895, 3.51263, 5.17205
O,-5.68666,-4.53687, 7.95205
O,-6.58086,-4.20387, 8.81205
O,10.61764,-5.47397, 2.83205
O,10.71664,-4.67527, 3.97205
O,-7.99896,-7.48437,-3.65795
O,-8.20306,-6.28147,-4.06795
O, 0.36516,-7.61888, 9.81205
O, 0.91225,-7.62403, 8.59205
O,11.07574,-0.47247, 6.56205
O,11.54874, 0.09223, 7.64205
O,-3.44426,-7.91611,-9.85795
O,-3.20726,-8.87196,-10.81795
O, 5.22804,-12.11437, 5.53205
O, 3.88688,-11.91837, 5.74205
O, 8.09114,-12.68467,-2.43795
O, 6.89564,-12.45317,-2.87795
O,-4.40846, 2.58713,-9.48795
O,-4.30266, 2.88813,-8.18795
O, 1.75274,-1.13787,12.92205
O, 0.48274,-0.99087,12.83205
O,-3.34166, 6.90373,-4.97795
O,-4.56636, 6.64823,-4.60795
O, 6.06604,-13.03937,-8.62795
O, 5.34984,-12.92187,-9.70795
O,12.77614, 2.69183, 2.11205
O,13.89484, 2.81183, 2.75205
O,-1.33686, 9.89832, 4.94205
O,-0.21926, 9.47105, 5.32205
O,13.14374,-6.11187,-7.91795
O,12.62784,-7.28987,-7.64795
O, 7.55594, 4.17173,-9.41795
O, 6.91184, 3.47413,-8.55795
O,-11.80836, 4.54235,-3.99795
O,-12.82686, 5.37795,-3.83795
O,-7.26096,11.50722, 7.60205
O,-7.75466,10.56023, 6.85205
O,-7.59176, 8.68613,-1.58795
O,-7.39706, 7.89313,-0.55795
O,11.45074, 6.98043, 3.31205
O,10.94674, 6.94333, 4.56205
O, 7.79894,-8.46587,10.98205
O, 8.42704,-7.58587,11.71205
O,-11.10946,-10.73067, 5.66205
O,-10.61926,-10.11317, 6.72205
O,-6.50892,10.59103,-8.00795
O,-7.50963,11.35553,-7.67795
O,-11.14726, 1.09453,-11.96795
O,-11.98526, 0.51273,-11.08795
O, 9.12874, 6.23713, 8.66205
O, 8.76174, 7.43713, 9.13205
O,12.55164, 6.41813,-8.51795
O,12.47124, 5.32413,-7.82795
O, 0.42194, 9.28183,11.74205
O, 1.28474, 8.30093,11.91205
O,-12.24978,-7.97007,12.46205
O,-11.48513,-9.01477,12.42205
O,-9.17526, 8.62824,12.42205
O,-8.38826, 7.80139,11.78205
O,-0.73828, 1.26094, 0.30765
O,-0.56828, 1.83874, 1.50765
O, 2.98602,-1.78386,-5.17235
O, 2.83992,-3.08136,-5.28235
O,-3.99708,-3.99516,-0.56235
O,-4.50208,-3.49156,-1.69235
O,-2.59638,-1.26636, 6.10765
O,-1.87858,-0.50636, 6.84765
O, 8.42652,-1.20656,-0.84235
O, 9.15422,-0.10116,-0.73235
O,-0.54128,-9.87976,-1.56235
O, 0.40372,-9.33216,-2.30235
O, 3.78012,-9.88116, 3.43765
O, 4.88772,-9.10316, 3.51765
O,-3.66548,-1.41691,-7.18235
O,-3.71368,-2.63531,-7.67235
O, 6.53382,-6.53565,-6.11235
O, 7.71222,-6.18234,-5.58235
O,-5.43688,-10.64036,-4.48235
O,-5.88288,-11.65346,-5.12235
O, 2.38692, 5.10784, 2.38765
O, 2.47422, 5.08184, 3.74765
O,-10.37508,-1.38916,-2.76235
O,-11.04578,-2.26876,-3.42235
O, 3.28793,-2.43096, 7.46765
O, 3.94009,-1.67736, 8.35765
O,-0.20628,-2.88373,-12.85235
O,-0.04428,-3.51635,-14.01235
O, 5.42872,-13.02036,-4.66235
O, 6.10792,-13.16466,-3.53235
O, 2.10942, 6.42164,-6.66235
O, 2.74782, 5.74314,-5.64235
O, 8.94692, 2.18884,-5.01235
O, 8.13062, 2.80984,-4.25235
O, 8.86072,-7.93016,-1.15235
O, 9.18572,-6.78316,-0.61235
O,-0.95699,-11.99786,-8.62235
O, 0.24840,-11.85846,-8.15235
O,-9.70128,-7.86456, 1.30765
O,-10.11528,-8.76836, 2.20765
O,-8.65958,-3.62686,-9.64235
O,-7.83018,-3.47826,-10.60235
O,-5.07215,-11.28026, 7.44765
O,-4.44907,-10.90936, 8.57765
O, 7.56832,-4.99416, 8.30765
O, 7.79442,-4.02816, 9.15765
O,-6.56518, 1.97524, 8.19765
O,-7.65028, 1.60744, 8.89765
O,-8.07528, 5.10324,-3.81235
O,-7.05848, 5.72784,-3.20235
O, 3.29552,11.90384, 5.62765
O, 3.50862,12.93084, 6.34765
O,11.58568, 0.79320, 5.79765
O,10.37963, 1.12463, 6.21765
O, 8.70372, 7.66178, 0.41765
O, 9.52972, 8.68135, 0.48765
O,-6.90528,-6.52916, 9.36765
O,-5.86428,-6.37116,10.04765
O, 2.42072, 4.79684,12.63765
O, 2.66372, 5.99584,12.18765
O,-10.01428,-9.93516,-5.24235
O,-9.19228,-8.96616,-5.54235
O,-4.26348, 9.54984, 3.11765
O,-3.94648,10.15784, 4.22765
O,-0.95198, 9.57874, 7.13765
O,-1.43828,10.51114, 7.88765
O,12.61273, 6.27354, 4.68765
O,12.11897, 7.22764, 5.50765
O, 7.91272,11.03224,-8.02235
O, 7.85372, 9.73444,-8.06235
O,-6.90158, 5.30874,11.88765
O,-7.42858, 6.17684,10.97765
O,11.98069,-7.14196, 8.61765
O,12.84461,-7.64956, 9.44765
O, 4.63892,-12.54776,11.35765
O, 3.82402,-11.70626,12.00765
O,-11.07808,10.09804,-2.00235
O,-10.07998,11.01344,-1.78235
O,11.92102, 3.58304,-11.34235
O,11.23452, 4.01354,-10.28235
O, 7.33664, 7.63874,10.42765
O, 7.01911, 7.63844,11.73765
O,-7.88848,11.16184,-11.59235
O,-6.80898,10.42084,-11.34235
O,-12.25438,11.21784, 8.19765
O,-11.21618,10.48484, 8.23765
O,-0.10622,-0.70779, 1.21123
O,-0.47992,-0.14329, 2.34123
O,-4.39252,-2.80489,-1.72877
O,-4.40132,-2.99229,-0.43877
O, 4.09318,-5.01469,-2.58877
O, 4.94588,-5.77029,-1.89877
O,-1.28912, 5.38151,-2.27877
O,-0.74312, 4.75951,-1.23877
O,-2.99302,-7.92669,-4.87877
O,-3.21262,-8.58839,-3.79877
O, 7.32008, 2.96081, 1.17123
O, 7.19348, 3.79981, 2.15123
O, 2.02368,-3.34499,-10.72877
O, 2.14168,-3.19119,-9.40877
O,-8.59082, 0.56191, 1.60123
O,-7.89852, 0.38641, 2.68123
O,-6.26732, 6.19261,-5.21877
O,-7.09452, 7.15641,-5.09877
O,-5.61432,-1.51519,-10.83877
O,-5.06452,-2.40919,-10.04877
O,-2.51912, 8.14511, 0.31123
O,-1.71512, 9.16151, 0.43123
O, 2.69238,-11.19209,-2.67877
O, 1.56408,-11.46519,-3.33877
O, 2.63988, 6.58381,-8.82877
O, 1.97688, 5.59481,-8.17877
O, 2.04138, 1.79481, 6.95123
O, 3.04998, 1.49681, 6.18123
O, 8.27928,-5.51559, 1.49123
O, 8.45698,-4.45229, 0.79123
O, 6.54688, 1.42351,-12.13877
O, 5.47988, 2.10281,-11.74877
O, 5.90198, 7.24681,-4.19877
O, 5.87068, 8.14411,-3.25877
O,-11.56392,-5.26389,-3.80877
O,-11.95192,-3.99159,-3.86877
O,-1.75412,-7.85699, 5.00123
O,-0.73762,-7.36679, 4.31123
O, 7.86244,-8.12879,-7.22877
O, 8.59883,-9.12599,-7.58877
O,-4.09912, 5.27171,13.49123
O,-3.14212, 4.42681,13.69123
O,-11.32452, 4.54911, 0.48123
O,-10.07432, 4.67271, 0.77123
O,-2.21812, 7.11441, 7.15123
O,-1.14512, 6.52201, 7.63123
O,-8.38552,-1.58849, 6.00123
O,-8.79682,-0.56039, 6.77123
O,-5.23657,-9.45549,-11.90877
O,-4.96838,-10.52189,-11.20877
O,-10.32362,-2.56348,-11.24877
O,-11.20302,-3.47680,-10.82877
O,11.86268, 4.35881,-6.77877
O,11.96958, 3.04881,-6.79877
O,-4.59012,11.47481,-6.85877
O,-5.50812,12.37181,-7.16877
O,-7.89342,-12.25153,-1.85877
O,-9.07532,-12.36037,-2.38877
O, 6.21188,-4.14030, 7.71123
O, 7.34988,-4.36565, 7.03123
O,-8.90742, 5.12181,-10.60877
O,-9.23902, 5.63081,-9.45877
O, 3.92304,-11.39099,-8.68877
O, 3.10381,-11.37899,-7.67877
O, 3.29668, 9.43081, 5.33123
O, 3.55088, 9.91491, 6.49123
O,11.47188,-4.67419, 2.68123
O,11.61688,-3.38119, 2.64123
O, 3.23798,-9.83549,10.29123
O, 3.83608,-8.95889,11.11123
O, 7.66788,-11.94580, 3.28123
O, 7.78288,-10.85289, 4.04123
O,-7.61612,11.24081, 7.67123
O,-7.11612,10.77941, 8.75123
O, 8.02148, 7.68681,11.44123
O, 7.73158, 8.87081,11.84123
O,-11.81182,-10.72419,-10.91877
O,-11.07942,-10.72919,-9.80877
O,10.85728,11.21781,-0.26877
O,11.74328,10.46981, 0.28123
O,-10.56442,-8.86919, 8.62123
O,-10.68292,-8.63519, 7.33123
O,11.62964,-2.40279,10.01123
O,10.85470,-2.65709,11.05123
O,12.24388, 8.25981, 8.88123
O,11.93988, 9.20781, 9.70123
O, 0.15764, 1.54708, 0.18616
O, 0.11904, 2.08208, 1.38616
O,-2.23646,-7.54202,-2.07384
O,-1.39256,-7.53922,-1.00384
O, 3.71564, 1.03138,-5.86384
O, 4.82364, 1.39428,-5.20384
O,-4.97226, 2.02298, 2.17616
O,-3.99816, 2.35248, 3.03616
O,-4.48636,-5.12992,-7.95384
O,-3.33436,-4.64492,-7.72384
O, 3.43518,-7.77392,-6.39384
O, 2.27763,-7.32902,-6.04384
O, 5.98704,-6.98592,-1.09384
O, 5.36654,-6.10192,-0.32384
O,-4.99016,-10.11632, 3.40616
O,-5.33966,-9.33242, 4.39616
O, 6.86974,-5.75972, 4.26616
O, 6.75574,-4.46202, 3.89616
O,-5.83996, 2.05228,-5.32384
O,-4.78436, 2.13248,-6.15384
O, 7.46234,-1.47892,-8.92384
O, 8.58894,-1.92092,-8.37384
O, 3.31234,-1.52992, 7.55616
O, 2.69824,-1.69492, 8.73616
O,-3.64536,-1.64092, 7.95616
O,-4.85136,-2.04692, 8.33616
O, 2.47445, 4.60848,-9.36384
O, 1.91354, 4.27788,-8.31384
O,-1.65656,-8.40602, 7.78616
O,-1.85596,-7.91152, 6.58616
O,-0.24326,-6.17482,-11.95384
O, 1.06744,-6.06332,-12.32384
O,10.22154,-1.88402,-0.39384
O, 9.07374,-1.88484, 0.14616
O,-2.83836, 9.60288,-5.24384
O,-3.82006,10.48988,-5.07384
O, 1.65764, 9.02708,-0.13384
O, 2.04764, 7.80208,-0.27384
O,12.40664,-4.70446,-5.26384
O,13.63164,-5.15445,-5.11384
O,-12.21146,-2.25992, 4.64616
O,-13.27686,-1.51792, 4.69616
O,-9.23616,-8.84822, 4.31616
O,-9.35966,-8.61712, 5.60616
O, 6.36561,10.10588,-1.81384
O, 6.70813,10.64778,-0.67384
O,10.17944, 4.75028, 0.09616
O,11.23544, 5.46038, 0.12616
O,10.36184, 3.01528,-3.46384
O,11.47774, 2.82948,-2.78384
O,-3.95136,12.57548,-8.67384
O,-3.04736,11.70568,-8.39384
O, 7.78064, 4.36408, 8.04616
O, 7.45964, 4.18808, 9.29616
O,-5.04246,10.50867, 4.43616
O,-3.94866,10.07828, 5.01616
O, 5.79164,11.28191, 4.93616
O, 6.85964,10.59803, 5.22616
O,-10.12436, 4.89188,-10.01384
O,-9.10536, 5.12818,-10.76384
O,-7.84336, 8.83358, 0.38616
O,-7.60936, 7.61378, 0.82616
O, 6.36004,-9.19122,10.93616
O, 7.58384,-8.80802,10.62616
O,-8.42816,-4.96102,11.45616
O,-8.92686,-6.15062,11.74616
O,-2.35306, 3.60008,11.18616
O,-1.90166, 3.26808,12.35616
O,13.52210,-11.03532,-6.20384
O,13.12609,-11.80152,-5.23384
O,-6.57596, 5.54718, 7.76616
O,-6.29696, 5.08088, 8.97616
O, 6.81934, 7.88998,-7.96384
O, 6.35254, 7.52858,-6.75384
O,-11.74536, 2.79768, 9.39616
O,-11.12536, 2.60288,10.52616
O,-0.97556,10.35598,12.64616
O,-1.65156, 9.34368,13.15616
O,10.38364,-3.23892,10.88616
O,10.34084,-3.32682,12.18616
O,-11.30816,-11.50792,-11.80384
O,-12.29356,-12.31452,-12.05384
O,-12.11752,12.79608, 4.43616
O,-12.61342,13.54208, 5.44616
O, 9.72844, 7.44108,11.81616
O,10.19474, 8.02908,12.88616
O, 0.06537,-0.68540, 0.46685
O,-0.85363,-1.52240, 0.91685
O, 7.93837,-2.14370,-4.27315
O, 9.15107,-1.73350,-4.50315
O,-3.97013, 1.85760,-4.26315
O,-3.29913, 2.52569,-3.32315
O, 5.35077, 5.31590,-5.24315
O, 5.19507, 4.36270,-4.32315
O, 4.70097,-3.74960,-8.17315
O, 5.60947,-3.19010,-8.92315
O, 3.39977,-6.00800,-3.74315
O, 4.24777,-6.90280,-3.98315
O, 1.79587,-4.44740, 4.55685
O, 2.85687,-3.89340, 4.16685
O,-1.63376, 7.37770,-9.11315
O,-2.70300, 7.59080,-8.38315
O,11.86267, 1.43200,-1.81315
O,11.48291, 1.18870,-0.55315
O, 7.77667, 4.70779, 6.21685
O, 7.51407, 5.85522, 6.85685
