# Cluster;  Timestep;  Ref. Mol.
1;  39;  4
2;  169;  7
3;  226;  11
4;  235;  34
5;  236;  32
6;  322;  4
7;  337;  37
8;  533;  16
9;  547;  42
10;  569;  36
11;  772;  28
12;  772;  47
13;  869;  28
14;  970;  25
15;  1020;  11
16;  1033;  41
17;  1196;  16
18;  1286;  21
19;  1364;  11
20;  1502;  24
21;  1521;  38
22;  1554;  4
23;  1788;  43
24;  1828;  27
25;  1863;  40
26;  1922;  9
27;  1952;  8
28;  1956;  19
29;  1962;  24
30;  1984;  38
31;  2083;  45
32;  2240;  18
33;  2251;  21
34;  2386;  17
35;  2387;  31
36;  2416;  11
37;  2595;  16
38;  2623;  14
39;  2636;  46
40;  2652;  43
41;  2777;  2
42;  2835;  44
43;  2852;  8
44;  2871;  23
45;  2920;  34
46;  2957;  11
47;  3025;  9
48;  3109;  18
49;  3139;  13
50;  3205;  20
51;  3214;  39
52;  3364;  39
53;  3368;  36
54;  3427;  46
55;  3561;  32
56;  3603;  24
57;  3757;  18
58;  3984;  27
59;  4015;  41
60;  4020;  10
61;  4043;  4
62;  4076;  20
63;  4177;  12
64;  4182;  6
65;  4216;  44
66;  4247;  13
67;  4248;  34
68;  4285;  16
69;  4306;  48
70;  4399;  3
71;  4470;  3
72;  4485;  5
73;  4542;  28
74;  4564;  31
75;  4648;  3
76;  4654;  29
77;  4708;  30
78;  4745;  25
79;  4807;  9
80;  4942;  18
81;  4943;  47
82;  4995;  26
83;  4999;  9
84;  5069;  19
85;  5070;  2
86;  5137;  5
87;  5190;  40
88;  5213;  3
89;  5255;  46
90;  5332;  40
91;  5460;  27
92;  5484;  40
93;  5486;  26
94;  5906;  1
95;  5915;  4
96;  5978;  34
97;  5990;  41
98;  6046;  35
99;  6248;  33
100;  6249;  38
