atom,x,y,z
O, 1.16752,-0.29331, 1.36787
O,-0.68478,-0.00831,-0.46213
O, 5.74562, 0.83077,-0.72213
O, 4.22062, 0.98961,-2.81213
O, 1.19582,-4.30231, 6.16787
O, 0.74472,-2.15421, 4.69787
O, 2.05782,-0.22921,-5.74213
O, 2.20252,-1.23301,-8.06213
O, 1.51272, 3.72379,-5.59213
O, 1.22712, 4.81539,-7.91213
O, 5.09012, 2.59369, 7.88787
O, 4.67322, 3.33769, 5.22787
O,-3.61938,-2.06611,-5.05213
O,-5.11338,-0.95561,-6.86213
O, 2.86432,-7.39531, 3.20787
O, 3.26892,-8.45051, 0.77787
O, 7.72313,-0.88021, 5.61787
O, 8.07573,-1.96231, 3.38787
O,-4.55098, 6.32639,-1.75213
O,-3.83838, 5.93179,-4.10213
O,-6.07738, 0.35059, 5.19787
O,-6.72538,-1.74221, 3.73787
O,-5.40208, 4.14859, 5.03787
O,-3.58098, 5.69499, 3.60787
O,-2.56298,-8.79011, 2.30787
O,-3.17088,-7.73631, 0.02787
O,-0.82278, 8.90269, 0.43787
O,-0.56708,10.65889,-1.58213
O, 9.85582,-0.60411,-0.57213
O,10.24772,-1.34051,-3.10213
O, 4.20862,-7.27376,-4.04213
O, 3.97462,-7.36401,-6.64213
O, 6.18738, 2.91239,-7.40213
O, 7.47592, 1.32789,-9.06213
O,-6.47438,-6.49861,-2.05213
O,-6.86138,-7.00351,-4.52213
O,-8.31788, 4.93109, 1.40787
O,-9.93088, 4.63829,-0.72213
O, 8.80632, 8.32469, 4.34787
O, 7.17202, 8.46369, 2.23787
O,-1.25728, 4.15099,11.85787
O, 0.30032, 4.30299, 9.93787
O, 8.00552, 9.08859,-1.69213
O, 9.76012, 7.57059,-2.75213
O,-0.73034,-10.61751,-3.26213
O,-0.61491,-11.26841,-5.94213
O,-5.10798,-7.52931, 7.95787
O,-5.86098,-7.94031, 5.49787
O, 1.32462,10.95459, 6.96787
O,-0.76238,10.90879, 5.30787
O,-9.68428, 3.46294, 6.98787
O,-9.60878, 3.13233, 4.44787
O, 7.90672,-9.04831,-4.03213
O, 9.56132,-7.56161,-5.40213
O,-2.03308,-5.46317,12.62787
O,-1.31398,-6.17965, 9.99787
O, 9.82702,-8.39571, 3.93787
O,10.34092,-8.54001, 1.31787
O, 6.85402,-2.75642,12.05787
O, 6.57942,-1.12616, 9.95787
O,-2.25358, 7.54969,-9.10213
O,-3.33618, 8.44649,-11.46213
O, 2.88580,-11.41431, 9.36787
O, 4.03583,-9.75931, 7.51787
O,-5.38278,-0.33611,-10.84213
O,-4.41988, 0.03959,-13.21213
O,-9.93398, 1.53599,-6.32213
O,-11.49008, 2.87139,-8.26213
O, 8.17462, 9.36709,-6.06213
O, 5.97162,10.87649,-6.22213
O, 3.93022,-6.09061,-10.41213
O, 5.33752,-6.66791,-12.60213
O,11.74592, 6.69419, 7.03787
O,11.78892, 9.24179, 6.58787
O,-5.58228,-8.17131,-8.43213
O,-5.70858,-9.31131,-11.01213
O,-5.86838, 8.84339,11.03787
O,-6.15638,11.00669, 9.46787
O,-10.90718, 9.38069,-2.70213
O,-9.59588,11.75169,-3.42213
O,-11.89998,-2.27971,-8.41213
O,-11.52878,-4.76121,-9.43213
O, 7.86602, 8.72639,-9.96213
O, 6.60322, 6.81339,-11.64213
