# Cluster;  Timestep;  Ref. Mol.
1;  14;  34
2;  51;  41
3;  63;  2
4;  96;  8
5;  147;  35
6;  193;  31
7;  257;  47
8;  262;  21
9;  270;  45
10;  280;  25
11;  342;  4
12;  543;  41
13;  649;  33
14;  677;  37
15;  681;  25
16;  710;  32
17;  730;  18
18;  754;  2
19;  897;  12
20;  915;  26
21;  918;  11
22;  947;  35
23;  950;  35
24;  952;  36
25;  1034;  4
26;  1049;  31
27;  1230;  6
28;  1234;  33
29;  1238;  46
30;  1267;  5
31;  1306;  3
32;  1314;  22
33;  1412;  32
34;  1445;  17
35;  1517;  8
36;  1561;  37
37;  1562;  29
38;  1587;  14
39;  1716;  38
40;  1827;  40
41;  1879;  33
42;  2032;  7
43;  2076;  4
44;  2204;  17
45;  2251;  4
46;  2278;  44
47;  2319;  18
48;  2354;  22
49;  2394;  9
50;  2426;  32
51;  2450;  32
52;  2459;  26
53;  2643;  33
54;  2730;  14
55;  2741;  32
56;  2766;  14
57;  2771;  6
58;  2863;  34
59;  2895;  9
60;  3223;  27
61;  3230;  46
62;  3374;  47
63;  3448;  39
64;  3463;  31
65;  3532;  19
66;  3577;  4
67;  3592;  35
68;  3621;  17
69;  3845;  41
70;  3965;  44
71;  4065;  41
72;  4166;  16
73;  4210;  18
74;  4308;  2
75;  4371;  32
76;  4432;  43
77;  4436;  35
78;  4504;  41
79;  4581;  5
80;  4613;  38
81;  4680;  25
82;  4686;  34
83;  4698;  47
84;  4731;  21
85;  4747;  18
86;  4872;  28
87;  5063;  2
88;  5159;  13
89;  5317;  29
90;  5505;  45
91;  5567;  47
92;  5660;  38
93;  5667;  33
94;  5746;  47
95;  5765;  5
96;  5886;  17
97;  5980;  36
98;  6007;  48
99;  6089;  26
100;  6092;  47
