# Cluster;  Timestep;  Ref. Mol.
1;  139;  34
2;  159;  10
3;  363;  14
4;  425;  28
5;  471;  4
6;  491;  29
7;  571;  45
8;  630;  11
9;  639;  12
10;  666;  14
11;  684;  13
12;  752;  21
13;  834;  43
14;  893;  21
15;  899;  29
16;  977;  3
17;  980;  7
18;  1040;  45
19;  1052;  33
20;  1143;  12
21;  1377;  10
22;  1473;  35
23;  1487;  33
24;  1497;  27
25;  1558;  29
26;  1576;  18
27;  1670;  24
28;  1792;  34
29;  1903;  3
30;  1913;  41
31;  1922;  41
32;  1983;  37
33;  2008;  38
34;  2079;  46
35;  2140;  16
36;  2304;  11
37;  2342;  36
38;  2465;  7
39;  2516;  45
40;  2823;  22
41;  2824;  43
42;  2842;  24
43;  2861;  17
44;  2878;  46
45;  2965;  27
46;  2973;  42
47;  3015;  45
48;  3025;  43
49;  3084;  41
50;  3088;  43
51;  3171;  22
52;  3216;  13
53;  3288;  36
54;  3299;  33
55;  3319;  13
56;  3498;  10
57;  3537;  22
58;  3611;  33
59;  3645;  28
60;  3687;  11
61;  3735;  18
62;  3877;  19
63;  4016;  14
64;  4099;  4
65;  4178;  6
66;  4197;  26
67;  4202;  42
68;  4283;  32
69;  4306;  36
70;  4338;  10
71;  4440;  32
72;  4481;  8
73;  4481;  12
74;  4626;  18
75;  4655;  27
76;  4726;  31
77;  4775;  39
78;  4909;  24
79;  5011;  1
80;  5011;  39
81;  5120;  28
82;  5176;  3
83;  5296;  7
84;  5551;  34
85;  5653;  23
86;  5749;  34
87;  5764;  46
88;  5807;  8
89;  5817;  27
90;  5852;  7
91;  5977;  18
92;  6017;  45
93;  6052;  5
94;  6088;  48
95;  6089;  31
96;  6098;  42
97;  6165;  14
98;  6211;  11
99;  6237;  30
100;  6237;  43
