atom,x,y,z
O,-0.33920, 0.89780, 1.53067
O,-0.13430, 1.13980, 2.81067
O,-6.17370,-2.17550,-0.24933
O,-5.25960,-2.55420, 0.65067
O, 4.32100,-5.30170, 3.98067
O, 5.48450,-5.69970, 3.57067
O,-0.01570, 5.28830,-2.10933
O, 0.19130, 4.82530,-0.86933
O, 5.11430,-2.72028,-3.28933
O, 4.30730,-2.38711,-2.28933
O, 1.75050,-2.68070,10.29067
O, 1.86360,-2.46870,11.59067
O,-6.50590, 6.33845,-1.36933
O,-5.60760, 5.75942,-0.60933
O, 9.12630,-3.09460,-0.44933
O, 9.97030,-4.13950,-0.53933
O, 6.94823, 4.54330, 3.99067
O, 6.52561, 3.77530, 4.95067
O, 0.52640, 1.34930,-7.88933
O, 1.29070, 1.19980,-6.76933
O,-8.01560, 3.26520, 6.18067
O,-9.18230, 3.72460, 6.69067
O, 2.43595,10.88030, 4.42067
O, 2.30490,10.88130, 5.74067
O,-8.35510, 8.14770, 2.83067
O,-9.56330, 7.65740, 2.60067
O,-4.31170,-10.50250, 4.22067
O,-4.15070,-9.38340, 4.91067
O,-11.87450,-1.87050, 5.98067
O,-11.46920,-1.02330, 6.90067
O,-5.12460,-5.30610,-6.91933
O,-5.31320,-6.19090,-5.97933
O, 3.18160,-6.67990,-6.03933
O, 3.25350,-7.72510,-5.18933
O, 2.60730, 4.41464,10.47067
O, 1.48530, 3.88945,10.89067
O,-11.37870,-7.74090, 0.69067
O,-11.24970,-6.75030,-0.19933
O,-5.68260,-2.92263,10.60067
O,-4.97240,-1.95394,11.17067
O,-8.96320, 1.81360,-4.95933
O,-8.08890, 1.91484,-4.03933
O,-0.70908,-11.72040,-5.39933
O, 0.32850,-12.41010,-5.02933
O, 7.37000, 4.52410,-10.57933
O, 7.53920, 5.53000,-9.76933
O,11.64544, 5.54720,-1.03933
O,11.38260, 4.46750,-0.28933
O, 7.97030,-10.44530,-0.03933
O, 8.77050,-10.81360, 0.96067
O,10.42230,-4.00050, 7.67067
O,10.30530,-4.64270, 8.78067
O,-4.55470, 2.45530,13.96067
O,-5.40170, 1.65780,14.49067
O, 0.20950,-9.31370,12.14067
O, 0.01060,-9.88170,13.31067
O, 6.60650, 8.91460,-6.23933
O, 6.25490, 7.84140,-5.50933
O,-11.88070,-4.11490,-7.19933
O,-12.91870,-3.31200,-7.53933
O,-4.70170,13.90240,10.43067
O,-5.14370,13.41290,11.58067
O,-10.62350,11.15310,-0.77933
O,-11.09340,11.80330, 0.20067
